名称,Name,游戏简介,About the game,媒体评价,Reviews
喵之冒险2,Cat Quest II,CAT QUEST II 是一款 2D 开放世界动作角色扮演游戏，背景设定在猫和狗的奇幻领域。在 Felingard 的猫和 Lupus 帝国不断前进的狗之间持续战争的威胁下，CAT QUEST II 讲述了两位国王的尾巴，违背他们的意愿走到一起，踏上了夺回王位的发现之旅。扮演猫和狗，独自或与朋友一起探索它们的王国！在一个充满魔法、好奇怪物的世界中探索，并以前所未有的方式进行冒险！继广受好评的 CAT QUEST 大获成功之后，开发商 The Gentlebros 重返 Felingard 世界，在原作的基础上进行扩展，提供更多爆炸性法术、扩展的武器选项、令人兴奋的新角色切换机制和本地合作！特点 - 以 Felingard 世界为背景的全新故事 - 以及更远的地方！- 全新的 Switch 和本地合作游戏。扮演猫和狗，单独或与朋友一起玩！- 新的武器类型 - 掌握剑、法杖等，成为毛茸茸的战士！- 更多的法术会给你的敌人带来更多毛茸茸的审判。- 新的被动技能，其属性可以混合和组合，以获得无尽的爪子嘶嘶声！- 令人兴奋且多样的地牢，充满了新的陷阱和障碍，让每一次突袭未知世界都是一次新鲜的体验！- 在一连串的支线任务中吠叫，每个任务都讲述着自己的故事，并扩展了 CAT QUEST 的传说和宇宙！今天就去 ultimutt catventure 吧！,"CAT QUEST II is a 2D open-world action-RPG set in a fantasy realm of cats and dogs. Under threat from a continuing war between the cats of Felingard and the advancing dogs of the Lupus Empire, CAT QUEST II tells the tail of two kings, brought together against their will, on a journey of paw-some discovery to reclaim their thrones. Play as both a cat and dog as you explore their kingdoms solo or with a friend! Quest in a world filled with magic, curious monsters, and go on a catventure like never before! Following the success of the acclaimed CAT QUEST, developers The Gentlebros return to the world of Felingard to expand on the original with more explosive spells, expanded weapon options, an exciting new character switch mechanic, and local co-op! Features - Brand new story set in the world of Felingard - and beyond! - All new switch and local co-op gameplay. Play as both cat and dog, either alone or with a friend! - New weapons types – Master swords, staves and more to become a fur-midable fighter! - More spells bring even more furry judgement to your foes. - New passive abilities, whose attributes can be mixed and combined for endless paw-sibilities! - Exciting, and varied dungeons filled with new traps and obstacles, making every pounce into the unknown a fresh experience! - Em-bark on a litany of side quests, each telling its own story and expanding the lore and universe of CAT QUEST! Go on the ultimutt catventure today!","“无论您是单独玩还是与第二名玩家一起玩,Cat Quest II 都是一款出色的动作角色扮演游戏,具有很强的幽默感。”90 – 上帝是个极客 “以迷人的故事为核心,令人惊讶的令人满意的战斗,以及散布在地图上的大量巧妙秘密等你发现,很容易迷上 Cat Quest II。这是一款很棒的小型角色扮演游戏,永远不会过时,提供一口大小但令人上瘾的冒险。80 – Push Square“Cat Quest II 是一款迷人的小型动作角色扮演游戏。它简单的机制造就了一款几乎任何人都可以上手玩的游戏,所有这些都以一些出色的设计作品和富有感染力的幽默为后盾,这些幽默永远不会让你脸上露出笑容。80 – 任天堂生活","“Whether you're going at it solo or with a friend, on the highest difficulty setting or the lowest, Mushihimesama is incredibly easy to spend an afternoon with for years to come.” 9/10 – Destructoid “The patterns of gunfire were beautifully choreographed and graceful across the screen. It was as majestic and threatening as standing inside of a firework, and I became a part of that slow and terrifying dance.” 3.5/5 – The Escapist “Mushihimesama is an incredibly fun shooter with tight controls, a lot of challenge, great audiovisual style and astonishing bullet patterns.” 9/10 – Niche Gamer"
死亡庄园,Dead Estate,你能活下来吗？Dead Estate 是一款血腥、快节奏、具有挑战性、流氓风格的射击游戏，非常强调万圣节和其他恐怖影响。与 10 个独特的角色一起登上充满怪物的豪宅的楼层，收集大量物品和武器，应对艰苦的挑战，并沿途发现秘密和可解锁内容！当心每层楼都潜伏的威胁 - 有些威胁特别持久......高可重玩性！10个可玩角色，每个都有独特的游戏风格和替代服装超过100种武器和220种物品，使每次运行都独一无二。 探索庄园的巨大复杂性 - 发现替代楼层和楼层变体。 一种等距风格，带有紧凑的房间，专为紧张的近距离战斗而设计。 尝试循环运行，或者不同的难度级别来玩你喜欢的方式。 祝福与诅咒运行修改器，最大化可重玩性。 有大量的秘密等待发现， 还有更多内容等你解锁 没有 DLC - 我们会尽可能多地免费添加更多内容！包括控制器支持，但建议使用键盘 + 鼠标以获得最佳体验。,"Can you survive? Dead Estate is a gory, fast-paced, challenging, rogue-like shooter with a heavy emphasis on Halloween and other horror influences. Ascend the floors of a monster-filled mansion with 10 unique characters and collect loads of items and weapons, tackle grueling challenges, and discover secrets and unlockables along the way! Beware of the lurking threats on every floor -- some are especially persistent... High replayability! 10 playable characters , each with distinct playstyles and alternate costumes OVER 100 weapons and 220 items to make each run unique Explore the vast complexity of the Estate - discovering alternate floors &amp; floor variants An isometric style with compact rooms designed for tense, close-quarters combat Try a looped run , or varying difficulty level s to play how you prefer Blessing &amp; Curse run modifiers to maximize replayability A bounty of secrets to be discovered, and many more to be unlocked No DLC - More content is being added for free, as often as we can! Controller support is included, but a keyboard + mouse is recommended for the best experience.","“一款出色的小型 Roguelike 射击游戏,具有快节奏的游戏玩法、有趣的前提和出色的像素艺术动画。一个充满怪物的怪异房子进入,带来一点令人毛骨悚然的射击游戏乐趣。Alpha Beta Gamer“Dead Estate 提供了其他 roguelike 游戏通常很难提供的东西：每次都是挑战。第一次跑步时对你的期望与最近一次跑步对你的期望相同：变得好。恐惧经验值","“A great little roguelike shooter with fast paced gameplay, a fun premise and fantastic pixel art animation. A freaky monster-filled house well entering for a bit of spooky shooter fun.” Alpha Beta Gamer “Dead Estate offers something other roguelikes often have a hard time offering: A challenge every time. The same thing is expected of you on the first run as what’s expected of you in your most current run: Get good.” DreadXP"
共鸣,Conarium,Conarium 是一款令人毛骨悚然的洛夫克拉夫特式游戏，讲述了四位科学家的扣人心弦的故事，以及他们努力挑战我们通常认为的自然界“绝对”极限的努力。灵感来自 HP Lovecraft 的中篇小说 At the Mountains of Madness，但主要以原始故事为背景。你扮演弗兰克·吉尔曼 （Frank Gilman），在一个充满奇怪、脉动噪音的房间里睁开眼睛。灯光图案在墙壁上表演 Danse Macabre，由桌子上的一个酷儿装置呈现。只记得你身在南极附近的南极基地乌普奥特，你发现这个地方空无一人，并有一种明显的感觉，觉得有什么事情非常不对劲。不知何故，知道你的记忆无法引导你，会强化一种奇怪的脆弱感，一种熟悉而又陌生的感觉，即成为一个奇特整体的一部分......很快你会发现，在探险期间使用该设备后，你已经死了，但随后又微妙地改变了，谈到了奇怪的回忆和奇怪的地方。你失去了一些重要的东西或获得了什么险恶的东西......探索南极基地，以及梦想和愿景。研究线索并解开秘密，同时不惜一切代价避开可怕的生物。主要特点： 一个深刻而充满悬念的洛夫克拉夫特式故事，有很多秘密和复活节彩蛋。使用虚幻引擎 4 创建的不祥但美妙的图形。多个结局。令人难以忘怀且大气的配乐。Conarium 由虚幻引擎 4 提供支持，旨在带来尖端的视觉效果，带来更加身临其境的故事讲述和游戏体验。,"Conarium is a chilling Lovecraftian game that follows the gripping story of four scientists and their endeavour to challenge what we normally consider to be the 'absolute' limits of nature. Inspired by H.P. Lovecraft's novella At the Mountains of Madness, but largely set after the original story. You, as Frank Gilman, open your eyes inside a room filled with strange, pulsating noises. Patterns of lights executing a Danse Macabre on the walls is presented by a queer device on the table. Having recalled nothing other than that you’re in Upuaut, an Antarctic base located near the South Pole, you find the place deserted and have a distinct feeling of something being terribly wrong. Somehow knowing that your memories cannot guide you enforces a strange feeling of vulnerability, a familiar yet alien sensation of being a part of a peculiar whole... Soon you will discover that having used the device during the expedition, you have died but then returned subtly changed, speaking of strange memories and of strange places. You have lost something important or gained something sinister... Explore the Antarctic base, as well as dreams and visions. Study clues and unlock secrets, whilst avoiding macabre beings at all cost. Key features: A deep and suspense-filled Lovecraftian story with lots of secrets and Easter eggs. Ominous but wonderful graphics created with Unreal Engine 4. Multiple endings. A haunting and atmospheric soundtrack. Powered by Unreal Engine 4, Conarium aims to bring cutting-edge visuals for a more immersive storytelling and gaming experience.","“编辑之选。HP Lovecraft 的恐怖片很难适应电子游戏格式,但 Conarium 成功了。它很好地处理了它的主题和参考资料,提供了一种既令人不安又令人着迷的体验。100% – Monstervine “它有很多亮点,最重要的是,它让我坐立不安。没有多少游戏能做到这一点。95% – Geeknifty “晚上戴着耳机独自玩,享受压抑和险恶的气氛。”雷康布","“EDITOR'S CHOICE. H.P. Lovecraft’s horror is difficult to adapt to a video game format, but Conarium succeeds. It handles its themes and references well, providing an experience that is equal parts unsettling and fascinating.” 100% – Monstervine “It has so many high points, and most of all, kept me on the edge of my seat. Not many games can do that.” 95% – Geeknifty “Play it alone at night with headphones and relish the oppressive and sinister atmosphere.” Recombu"
地平线突袭,Horizon Shift,'Shoot Stuff， Jump Stuff， Bomb Stuff' Horizo n Shift 是一款基于爆炸波的单屏射击游戏，具有大量新想法和平台元素。尽一切努力保护您的地平线免受不断逼近的敌人攻击！使用独特的风险回报乘数系统来最大化能量提升，建造你的炸弹并摧毁一切！Horizo n Shift 还配备了由 Heine House Entertainment 的 Jason Heine 制作的令人惊叹的令人心跳加速的配乐。这些原创作品融合了 House、Electronica 和 Chiptune。,"'Shoot Stuff, Jump Stuff, Bomb Stuff' Horizon Shift is an explosive wave based, single screen shooter, with a ton of new ideas and platformer elements. Do what it takes to protect your horizon from the ever encroaching enemy attack! Use the unique risk reward multiplier system to maximise power-ups, build your bomb and destroy EVERYTHING! Horizon Shift also features an amazing pulse pounding soundtrack produced by Jason Heine of Heine House Entertainment. These original compositions are a fusion of House, Electronica and Chiptune.","“如果你是 shmup 和 bullet hell 游戏的坚定成瘾者,或者只是对受虐狂感到好奇,那么你需要看看 Horizo n Shift。您对太空射击天堂的搜索已经结束。这是终点。9/10 – Gamers Honest Truth “街机怀旧与独立创新相遇” 9/10 – SplashGames “它具有美妙的音乐和快节奏的游戏玩法。如果您是老式街机游戏的粉丝,那么这绝对适合您。8.5/10 – 游戏内幕","“If you’re a puzzle fan, I can’t stress it enough — you need to play this game.” AppUnwrapper “It’s pleasing to the eye, the music pling-plongs nicely, the whirring and clicking of flipping tiles is great, and I’m enjoying the progression of puzzling.” Rock Paper Shotgun “Dissembler is one of those puzzle games that just feels good to play around with, but it backs that simple joy with a solid spate of puzzles and gameplay modes” 9 – Touch Arcade"
方块谜阵2,Blockwick 2,Blockwick 是一个到处都是五颜六色的方块的混乱世界。连接板上所有相同颜色的块。蓝色与蓝色、红色与红色，依此类推。不过，不要担心白色板条箱——它们只会碍事。如果你被一个谜题困住了，不要担心。只需寻找隐藏的月亮珍珠。在拼图中找到月亮珍珠将允许您打开下一个拼图。你前进得越远，你遇到的特殊块就越多。有些被螺栓固定并永久卡住。有些方块处于休眠状态，在被唤醒之前无法移动（在它旁边放一个相同颜色的方块来唤醒它）。纠缠的块通过量子力连接在一起——当一个块移动时，其他块也会移动。纠缠的块共享相同的符号。最终，你会遇到更多狡猾的块。粘性块很粘，会粘在其他块上。你不能直接捡到他们;它们只能与其他物块和板条箱一起推拉。毛毛虫块像火车一样相互连接;它们只能随头部或尾部移动。催眠块不需要连接来解决难题，但它们会造成很多痛苦。如果你在它旁边放置一个，催眠会让任何有色的块进入睡眠状态。最后，翻转块有六个边。当您移动它们时，它们会翻转到不同的一侧，露出新的颜色。哦，你注意到地上那些奇怪的字形了吗？每个谜题有三个。尝试用一组链接的块将它们全部覆盖起来以掌握拼图。这会更棘手，但对你的大脑有好处。就是这样。玩得愉快！,"Blockwick is a jumbled world full of colorful blocks. Connect all same-colored blocks on the board. Blue with blue, red with red, and so on. Don’t worry about the white crates though—they just get in the way. If you get stuck on a puzzle, don’t fret. Just look for the hidden moon pearl. Finding the moon pearl in a puzzle will allow you to open the next puzzle. The further you progress the more special blocks you’ll meet. Some are bolted down and are permanently stuck. Some blocks are asleep and can’t move until they’re woken up (set down a same-colored block next to it to wake it up). Entangled blocks are connected together by quantum forces—when one moves so do the others. Blocks that are entangled share the same symbol. Eventually you’ll meet even more devious blocks. Sticky blocks are gooey and will stick to other blocks. You can't pick them up directly; they can only be pushed and pulled around with other blocks and crates. Caterpillar blocks are linked to each other like a train; they can only be moved with the head or the tail. Hypno blocks don’t need to be connected to solve a puzzle, but they’ll cause a lot of pain. The hypno puts any colored block to sleep if you set one down right next to it. Finally, flip blocks have six sides. When you move them, they flip to a different side, exposing a new color. Oh, did you notice the strange glyphs on the ground? Each puzzle has three. Try to cover them all up with groups of linked blocks to master the puzzle. It’ll be more tricky, but it’s good for your brain. That’s about it. Have fun! – Kieffer Bros.","“Kieffer Bros 为 Blockwick 2 注入了视觉工艺,将其从一款引人入胜的益智游戏提升为一个冥想的数字岩石花园,你会想在这里度过一天。”5/5 – Gamezebo “如果你是方块滑动益智游戏的粉丝,那么 Blockwick 2 绝对是必备的” 5/5 – AppAdvice “一款很棒的益智游戏,会让你大吃一惊。”8.7/10 – Appszoom","“Kieffer Bros infuses Blockwick 2 with a visual craftsmanship which elevates it from an engrossing puzzle game to a meditative digital rock garden where you’ll want to spend your day.” 5/5 – Gamezebo “if you are a fan of block sliding puzzle games, then Blockwick 2 is an absolute must-have” 5/5 – AppAdvice “A great puzzle game that'll wring your mind out.” 8.7/10 – Appszoom"
太空水獭查理,Space Otter Charlie,随着人类的消失，水獭们必须从荒凉的地球上拯救动物。加入 Charlie 和他那群乌合之众的小动物们，在 Otter Space 中执行一项大胆的任务，寻找一个可以称之为家的新星球。探索废弃的空间站，与精神错乱的机器人战斗，并在跳跃、漂浮和飞行十几个级别的毛茸茸的乐趣中享受一些水獭般的精彩双关语。零重力为经典益智平台游戏带来了全新的转折。任何没有用螺栓固定的东西都可以自由漂浮，从而带来大量全新的谜题和困境。在路上，您会发现制作各种装备的计划，从喷气背包到射线枪 - 甚至是泡沫鲨鱼服？！这一切都有助于您追求更毛茸茸的未来！特点 零重力平台 - 当你跳跃、漂浮和火箭般穿越物理驱动的关卡时，你的大脑会颠倒过来。酷炫的装备和升级 - 制作新装备，并从沿途发现的零件中解锁新的太空水獭技能。拉出你的 Reflector Ray 让你的子弹在角落里弹跳，或者在你用 Electric Slide 滑过敌人时留下一条毁灭之路。从喷气背包到导弹发射器，Charlie's 拥有所有最酷的玩具。古怪的宇航服 - 当然，水獭必须穿上宇航服才能在致命的太空真空中生存，但他这样做仍然可以看起来很棒（而且很可爱）！新套装的计划隐藏在游戏中 - 每套套装都有有趣的新外观和自己独特而强大的武器！想看穿着鲨鱼服的水獭吗？Charlie 帮你搞定了。动感十足的多人游戏 - 寻找更多动作？在疯狂的 4 人竞技场中与您的朋友战斗。在 So Urchin 模式中争夺食物霸权，或者只是在 Furry Fury 死亡竞赛中让毛皮飞翔。成为 Otternaut - 一平方英寸的海獭皮毛中到底有多少根毛发？用这些知识让你的朋友眼花缭眼花缭，当你发现隐藏在整个游戏中的关于海獭的各种有趣事实时。每个人都能玩 - 充满动作、谜题和健康的可爱元素，Space Otter Charlie 专为所有年龄段的人设计。,"With humanity gone, it’s up to the otters to save animal-kind from an inhospitable Earth. Join Charlie and his ragtag crew of critters on a daring mission through Otter Space as they search for a new planet to call home. Explore derelict space stations, battle unhinged robots, and enjoy some otterly terrific puns as you jump, float, and fly through over a dozen levels of furry fun. Zero gravity gives classic puzzle platforming a whole new twist. Anything that’s not bolted down floats freely, making for a plethora of fresh new puzzles and predicaments. On your way, you’ll find plans to craft all kinds of gear, from jetpacks to ray guns - even a foam shark suit?! It all helps you on your quest for a furrier future! Features Zero-G Platforming - Turn your brain upside down as you jump, float, and rocket your way through physics-fueled levels. Cool Gear and Upgrades - Craft new gear and unlock new space otter skills from parts you find along the way. Pull out your Reflector Ray to ricochet your shots around corners or leave a path of destruction as you slide through enemies with the Electric Slide. From Jetpacks to missile launchers, Charlie’s got all the coolest toys. Wacky Space Suits - Sure, an otter’s gotta wear a suit to survive the deadly vacuum of space, but he can still look great (and CUTE) doing it! Plans for new suits are hidden through the game - each with a fun new look and its own unique and powerful weapon! Want to see an otter wearing a shark suit? Charlie’s got you covered. Action-Packed Multiplayer - Looking for more action? Battle your friends in frantic 4-player arenas. Fight for food supremacy in So Urchin mode, or just let the fur fly in a Furry Fury deathmatch. Become an Otternaut - Just how many hairs are in a square inch of sea otter fur? Dazzle your friends with this knowledge and more as you uncover all kinds of fun facts about sea otters hidden throughout the game. Fun for Everyone - packed with action, puzzles, and a healthy dose of cute, Space Otter Charlie is designed for all ages to enjoy.","“对于任何平台游戏爱好者来说,这都是一个简单的推荐！”Screen Rant “感觉就像是 Spectrum 经典 Jet Pac 的现代版本——这款游戏让我想起了过去的美好时光。”Finger Guns “真的和你想象的一样可爱和有趣！”游戏密码",“An easy recommendation for any platforming enthusiast!” Screen Rant “Feels like a modern day take on the Spectrum classic Jet Pac – this game reminds me of the good ol’ days.” Finger Guns “Truly as adorable and fun as you think it would be!” Gaming Cypher
Loretta,Loretta,Loretta 是一部心理惊悚片，使玩家成为女主角犯罪的从犯，带领她度过一场自制的噩梦。Loretta 的故事围绕着一个女人处理背叛、丈夫的不忠以及在 1940 年代社会动荡中重新夺回自己的代理权展开。选择对话，与物体互动，并决定 Loretta 在驾驭自己创造的噩梦时堕落的深度。故事 Loretta 是一名家庭主妇。她的丈夫沃尔特 （Walter） 是一名作家。从纽约市的浮华和魅力中被拖出，被推入南方乡村一座破旧的农舍，两人都没有成功，在财务和人际关系上苦苦挣扎。但是，当洛雷塔得知她丈夫的不忠和以他的名义提交的一份非常有利可图的人寿保险单时，一个可怕的计划开始生根发芽。由玩家决定她将遵循它多远。特点 决定 Loretta 的故事是仍然是一张欺骗之网，还是通过对话和发现逐渐演变成血腥的谋杀。概念灵感来自黑色电影、Andrew Wyeth 和 Edward Hopper 的艺术，以及 Alfred Hitchcock、Philip Ridley、Stephen King 和 Vladimir Nabokov 的作品。解决神秘的谜题，深入了解 Loretta 不完美的过去，并发现她为重新掌控自己的生活而感到的绝望程度。在这个没有英雄的故事中，你会站在谁的一边？分支路径和多个结尾允许自定义体验或重播机会。选择 Loretta 的命运，并探索呈现在她面前的多种机会。,"Loretta is a psychological thriller that makes the player an accessory to the heroine’s crimes, leading her through a self-crafted nightmare. Loretta’s story revolves around a woman handling betrayal, her husband’s infidelity, and reclaiming her agency during the socially tumultuous 1940s. Choose dialogue, interact with objects and decide the depths to which Loretta's depravity spirals while navigating a nightmare of her own creation. Story Loretta is a housewife. Her husband Walter is a writer. Dragged from the glitz and glamour of New York City and thrust into a dilapidated farmhouse in the rural south, both are unsuccessful, struggling with their finances and their relationship. But when Loretta learns of her husband’s infidelity and a remarkably lucrative life insurance policy filed in his name, a grisly plan begins to take root. It is up to the player to decide how far she will follow it. Features Decide whether Loretta's story remains a web of deceit or crescendos into bloody murder through dialogue and discovery. Conceptually inspired by film noir, the art of Andrew Wyeth and Edward Hopper, as well as the works of Alfred Hitchcock, Philip Ridley, Stephen King and Vladimir Nabokov. Solve cryptic puzzles to dive deeper into Loretta's imperfect past and discover the levels of desperation she feels to reclaim control of her life. Whose side will you take in this story without heroes? Branching paths and multiple endings allow for a custom experience or opportunity for replay. Choose Loretta’s fate and explore the multiple opportunities as they present themselves to her.","“Loretta 是一部极具吸引力且制作精良的心理惊悚片,它的灵感无处不在。”Gameffine “Loretta 在各个方面都打得很厉害;这是一场不容错过的比赛。嘿,可怜的玩家 “我马上就会再玩一个这样的游戏。”我梦见独立游戏",“Loretta is a highly engaging and expertly crafted psychological thriller that wears its inspirations on its sleeves.” Gameffine “Loretta packs a hell of a punch in every aspect; this is not a game to miss.” Hey Poor Player “I would play another game like this in a heartbeat.” I Dream of Indie Games
超维帽次元,Ultra Hat Dimension,帽子的力量迫使您避免拳头！Ultra Hat Dimension 是一款益智游戏，讲述了可爱的帽子和人们因戴上它们而被打一拳的故事。问题是玩家不能打任何人;相反，他们必须利用帽子的力量来说服其他人为他们打拳。找到并击败造成所有这些混乱的 Spluff！探索雄伟的 Spluff 宫殿的关卡，找到并击败你的宿敌！,"The power of Hats compels you to avoid punches! Ultra Hat Dimension is a puzzle game about adorable hats and people getting punched for wearing them. The catch is that the player can't punch anyone; instead, they must use the power of hats to convince others to do the punching for them. Find and defeat the Spluff responsible for all this chaos! Explore through the levels of the majestic Spluff Palace to find and defeat your arch-nemesis!","“Ultra Hat Dimension 是一个完美的例子,说明如果你打磨一个简单的想法并很好地执行它,事情就会发生多么美好。如果你喜欢你的益智游戏聪明而有魅力,那么这就是适合你的标题。Jay Is Games “与乍一听相反,Ultra Hat Dimension 并不是一个被洗刷的欧洲恍惚 DJ 二人组,而是一款出色的益智游戏,具有上述所有头部装饰。”石头布霰弹枪","“Ultra Hat Dimension is a perfect example of how wonderful things can happen if you polish up a simple idea and execute it well. If you like your puzzle games smart and heavy on the charm, this is the title for you.” Jay Is Games “Contrary to how it may at first sound, Ultra Hat Dimension is not a washed up European trance DJ duo, but is an excellent puzzle game that features all of the aforementioned head dressings.” Rock Paper Shotgun"
The Secret of Gillwood,The Secret of Gillwood,众神不会听到 Gillwood 的祈祷，所以现在轮到你来找出原因了！吉尔伍德的秘密 吉尔伍德的秘密是一款单人游戏，背景设定在一个黑暗而神秘的线性世界中。玩家控制着最忠实的众神守护者。你的任务是帮助 Gillwood 的众神，揭开突然让小镇沉寂的谜团。特点 探索分析 谜题 当玩家进入 Gillwood 的世界时，探索周围环境很重要。探索通过找到合适的位置来帮助玩家在游戏内容中取得进展。当玩家探索并找到兴趣点时，就该找到谜题开始的地方了。拼图的主要部分将让玩家跳跃，完成时间限制事件，并有很好的时机！,"The gods don't hear the prayers of Gillwood, so it’s now up to you to find out why! The Secret Of Gillwood The Secret of Gillwood is a single player game set in a dark and mysterious linear world. The player takes control of the most faithful Guardian of the gods. Your mission is to help the gods of Gillwood, to uncover the mystery that suddenly silenced the town. Features Exploration Analysis Puzzles When the player enters the world of Gillwood, it’s important to explore the surroundings. Exploration helps the player to progress through the games content by finding the right place. When the player has explored and found the point of interest, it’s time to find where the puzzle starts. The puzzles main parts will have the player jumping, completing time gated events and have good timing!",“吉尔伍德的秘密：黑暗跑酷拼图。”Zeepond 游戏评论“发布评论：吉尔伍德的秘密。”Just Gaming “这是一款由一个人制作的名为'The Secret of Gillwood'的低成本 3D 平台独立游戏。”WizFish 视频游戏评论家,“The Secret of Gillwood: A Dark Parkour Puzzler.” Zeepond Game Review “Release review The Secret of Gillwood.” Just Gaming “This is a low budget 3D Platformer indie game called 'The Secret of Gillwood' made by one man.” WizFish Video Games Reviewer
星际统治者2,Star Ruler 2,Star Ruler 2 是一款以太空为背景的大规模 4X/RTS。探索您选择的星系中的数十个、数百个甚至数千个系统，扩展到其行星，开发您找到的资源，并最终消灭任何挡路的人。你的帝国的命运取决于你掌握经济、派遣军队、影响银河政治以及了解宇宙的能力。银河经济 殖民行星，每个行星都拥有数十种资源中的一种，齐心协力打造繁华的生产中心。您选择的资源很重要，并将在整个游戏中指导您的帝国及其冲突。定制船舶 使用我们新的“蓝图绘制”方法来设计适合您的需求、战略和战术的船舶。快速直观地布置船只的装甲、武器、引擎和内部结构。Politics with Power Diplomacy 和 Influence Gathering 被重塑为游戏的核心机制，为玩家提供有意义的替代选择，并作为玩家与 AI 以及多人游戏中人类之间的互动平台。利用您的影响力吞并领土、监视敌人、援助盟友等等！你真的有机会影响政治格局。大规模 在我们内部开发的 Starflare 引擎上运行，Star Ruler 2 能够充分利用多核 CPU，并在 32 位和 64 位机器上运行。星系的大小只受您的硬件和野心的限制！错综复杂的研究 通过众多大大小小的技术网格扩展您的知识。改善帝国的几乎每个方面。完整的可修改性 您可以通过脚本和数据文件修改游戏玩法、图形、界面以及游戏的几乎所有其他方面，为修改社区提供前所未有的自由来实现他们想要的任何功能。使用游戏内的 Mod 编辑器添加或更改大多数内容，并将您的 Mod 上传到 Steam 创意工坊！Full Multiplayer Star Ruler 2 具有完整的多人游戏支持，同一游戏中最多可容纳 28 名玩家和 AI。超过 8 名玩家的游戏或数百个系统的星系中的游戏可能会超过典型家庭连接的容量。考虑在 LAN 上玩非常大的游戏。跨平台支持 Star Ruler 2 同时支持 Windows 和 Linux，所有游戏功能在两个作系统上和作系统之间完全支持。,"Star Ruler 2 is a massive scale 4X/RTS set in space. Explore dozens, hundreds, or even thousands of systems in a galaxy of your choosing, expand across its planets, exploit the resources you find, and ultimately exterminate any who stand in your way. The fate of your empire depends on your ability to master the economy, field a military, influence galactic politics, and learn what you can about the universe. Galactic Economy Colonize planets, each with one of dozens of resources, working in unison to create bustling centers of production. The resources you choose matter, and will guide your empire and its conflicts throughout the entire game. Custom Ships Design ships that fit your needs, strategies, and tactics using our new 'blueprint painting' approach to ship design. Quickly and intuitively lay out the armor, weapons, engines, and internals of your vessels. Politics with Power Diplomacy and influence gathering are reinvented as a core mechanic of the game, giving meaningful alternative options to players and serving as a platform of interaction both between players and AIs as well as humans in multiplayer. Harness your influence to annex territory, spy on enemies, aid allies, and more! You truly have the opportunity to affect the political landscape. Massive Scale Running on our internally developed Starflare Engine, Star Ruler 2 is able to make full use of multi-core cpus, and runs on both 32 bit and 64 bit machines. The size of a galaxy is only limited by your hardware and ambitions! Intricate Research Expand your knowledge through a grid of numerous technologies, big and small. Improve nearly every aspect of your empire. Complete Moddability You can modify the gameplay, graphics, interface, and virtually every other facet of the game through scripts and data files, giving unprecedented freedom to the modding community to implement any feature they want. Use the in-game mod editor to add or change most content, and upload your mod to the Steam Workshop! Full Multiplayer Star Ruler 2 features complete multiplayer support with up to 28 players and AIs in the same game. Games above 8 players or in galaxies of several hundred systems may exceed the capacity of a typical home connection. Consider playing very large games on LAN. Cross-Platform Support Star Ruler 2 supports both Windows and Linux, with all game features supported fully on and between both operating systems.",“Star Ruler 2 巧妙地平衡了游戏的复杂性与直观、易于上手的系统。”“推荐” – eXplorminate,"“Star Ruler 2 expertly balances complexity in gameplay with an intuitive, easy to pick up system for players.” 'Recommended' – eXplorminate"
