游戏应用ID,名称,发布日期,价格,最高同时在线人数,好评数,差评数,推荐数,支持Windows,支持Mac,支持Linux,游戏类别,玩法类型,游戏标签,评论总数,好评率,适用年龄,支持语言,媒体评价,开发商,发行商,展示图片链接,官方网站,支持邮箱,宣传视频链接
413150,星露谷物语,2016/2/26,14.99,64826,739174,12646,639295,1,1,1,单人游戏，多人，合作，在线合作，局域网合作，共享/分屏合作，共享/分屏，Steam成就，完全控制器支持，Steam集换式卡牌，Steam云，手机远程游玩，平板电脑远程游玩，一起远程游玩，家庭共享,独立，角色扮演，模拟,农场模拟，像素图形，生活模拟，多人在线，角色扮演，放松，农业，模拟，制作，沙盒，独立，建造，单人，休闲，开放世界，2D，可爱，恋爱模拟，好评原声音轨，钓鱼,751820,98.32%,0,['英语'， '德语'， '西班牙语-西班牙'， '日语'， '葡萄牙语--巴西'， '俄语'， '简体中文'， '法语'， '意大利语'， '匈牙利语'， '韩语'， '土耳其语'],“不仅仅是一款农场游戏，这个充满爱的单人劳动充满了看似无穷无尽的内容和心意。”5/5 – 巨型炸弹 “核心机制和轻松的美学完美地融合在一起，玩家会沉浸在体验中，永远不想离开。”95 – Destructoid“星露谷物语是我多年来在游戏中体验到的最丰富、最温馨的体验。”95 – CG马加津,关注猿,关注猿,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/413150/header.jpg?t=1711128146,http://www.stardewvalley.net,support@stardewvalley.net,http://video.akamai.steamstatic.com/store_trailers/256660296/movie_max.mp4?t=1454099186
238960,流放之路,2013/10/23,0,64449,201198,24372,1051,1,1,0,单人游戏，多人在线，大型多人在线游戏，玩家对战，在线玩家对战，合作，在线合作，Steam 成就，完全控制器支持，Steam 集换式卡牌，应用内购买，平板电脑远程游玩,动作，冒险，独立，大型多人在线，角色扮演，免费开玩,免费开玩，黑暗奇幻，动作角色扮演，砍杀与砍杀，刷宝，大型多人在线角色扮演，多人在线，迷宫爬行，等角视角，角色自定义，库存管理，角色扮演，单人，在线合作，动作，玩家对战，恐怖，大型多人在线，奇幻，冒险,225570,89.20%,0,['英语'， '葡萄牙语 - 巴西'， '俄语'， '泰语'， '法语'， '德语'， '西班牙语-西班牙'， '日语'， '韩语'],“2013 年度 PC 游戏” 9 – Gamespot“流放之路在 2013 年是一款很棒的游戏，但一系列免费扩展只会让它变得更好。这是目前最好的 ARPG 之一，绝对是最有价值的。9 – PC 玩家 （2018）,研磨齿轮游戏,研磨齿轮游戏,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/238960/header.jpg?t=1721339035,http://www.pathofexile.com,support@grindinggear.com,"http://video.akamai.steamstatic.com/store_trailers/257038864/movie_max.mp4?t=1721339028,http://video.akamai.steamstatic.com/store_trailers/256918980/movie_max.mp4?t=1669970948"
394360,钢铁雄心IV,2016/6/6,49.99,52233,272923,27140,217073,1,1,1,单人游戏，多人模式，合作，跨平台多人模式，Steam 成就，Steam 集换式卡牌，Steam 创意工坊，Steam 云，平板电脑远程游玩，家庭共享,模拟，策略,策略，二战，大战略，战争，历史，军事，架空历史，多人，模拟，战术，实时暂停，单人，即时战略，外交，沙盒，合作，策略角色扮演，竞争，开放世界，动作,300063,90.96%,0,['英语'， '法语'， '德语'， '波兰语'， '葡萄牙语 - 巴西'， '俄语'， '西班牙语-西班牙'， '日语'， '简体中文'],“Hearts of Iron 4 在闪电战期间像快速装甲师一样发挥着复杂性，使其能够服务于分层、大脑、战略战争的理念，而不是让它不必要地拖累体验。”9/10 – IGN “它让我着迷，因为它——不完美、印象派，也许还有点不道德——它让我策划了历史上最巨大的武装斗争，从繁琐的经济细节到机械化战争的切割和推挤。还有其他很棒的战略级战争游戏。但我从未玩过像《钢铁之心 4》这样的游戏“ 8.8/10 – PC Gamer”现在，经过几十个小时，我要从《钢铁之心 4》中休息一下。不是因为我厌倦了它;事实上，恰恰相反。我需要做的是认真阅读，仔细规划我对 1936 年美国的愿景应该是什么。当我完成那个计划时——当我制定我的角色表时——我有最大的信心，钢铁之心 4 将准备好让我在世界事务中发挥作用。8/10 – 多边形,Paradox 开发工作室,Paradox Interactive,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/394360/header.jpg?t=1725285977,http://www.heartsofiron4.com/,support@paradoxplaza.com,http://video.akamai.steamstatic.com/store_trailers/257012977/movie_max.mp4?t=1712235668
322170,几何冲刺,2014/12/22,4.99,19908,345308,24236,339809,1,1,0,单人游戏，Steam 成就，Steam 集换式卡牌，部分控制器支持，包括关卡编辑器，手机远程游玩，平板电脑远程游玩，家庭共享,动作，独立,困难，音乐，关卡编辑器，好评原声音轨，精确平台游戏，2D，节奏，单人，多彩，平台游戏，角色定制，独立，街机，横向滚屏，阖家，欢乐，动作，休闲，策略，冒险,369544,93.44%,0,['英语'],“令人沮丧的精彩”Kotaku “Geometry Dash 是一款快节奏的平台游戏，会让你沮丧地尖叫，但你会不断回来寻求更多。”AppAdvice “Geometry Dash 不是典型的基于节奏的游戏，它实际上需要技巧和良好的时机。”机器人游戏玩家,RobTop 游戏,RobTop 游戏,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/322170/header.jpg?t=1703006148,,support@robtopgames.com,http://video.akamai.steamstatic.com/store_trailers/2036304/movie_max.mp4?t=1447366408
107410,武装突袭3,2013/9/12,29.99,14960,245126,26077,207692,1,1,0,单人游戏，多人，玩家对战，在线玩家对战，局域网玩家对战，合作，在线合作，局域网合作，Steam成就，Steam集换式卡牌，提供字幕，Steam创意工坊，Steam排行榜，包括关卡编辑器,动作，模拟，策略,军事，动作，多人，模拟，射击，拟真，第一人称，开放世界，战术，第一人称射击，战争，合作，策略，沙盒，单人，可模组化，战斗，在线合作，团队导向，第三人称射击,271203,90.38%,17,['英语'， '法语'， '意大利语'， '德语'， '西班牙语-西班牙'， '捷克语'， '波兰语'， '葡萄牙语-巴西'， '俄语'， '日语'， '韩语'， '简体中文'， '繁体中文'， '土耳其语'],“军事模拟之王向前迈出了重要的一步......Arma 3 是一款无与伦比的战争故事生成器。84/100 – PC 游戏玩家 “Arma 3 重现现代战争如此多元素的雄心会让您大吃一惊。”8/10 – GameSpot,Bohemia Interactive,Bohemia Interactive,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/107410/header.jpg?t=1722590027,https://www.arma3.com,support@bohemia.net,"http://video.akamai.steamstatic.com/store_trailers/2029388/movie_max.mp4?t=1447358827,http://video.akamai.steamstatic.com/store_trailers/2036855/movie_max.mp4?t=1447368200"
548430,地心深处,2020/5/13,29.99,11633,299182,8716,245607,1,0,0,单人游戏，多人，合作，在线合作，Steam 成就，完全控制器支持，Steam 集换式卡牌，提供字幕，Steam 云，平板电脑远程游玩，电视远程游玩，家庭共享,行动,矮人，合作，玩家对战环境，第一人称射击，程序生成，职业导向，射击，探索，第一人称，刷宝，科幻，太空，动作，大气，刷宝射击，战斗，生存，恐怖，黑暗，动作类 Rogue,307898,97.17%,0,['英语'， '法语'， '德语'， '西班牙语-西班牙'， '波兰语'， '葡萄牙语-巴西'， '俄语'， '简体中文'， '繁体中文'， '乌克兰语'， '意大利语'， '日语'， '韩语'， '土耳其语'， '西班牙语-拉丁美洲'],“Deep Rock Galactic 是 Steam 和 Xbox One 上最好的新合作射击游戏”Polygon “洞穴探险合作的优点。这是一个赢家。石头纸霰弹枪 “Deep Rock Galactic Is A Cooperative Blast” 游戏告密者,幽灵船游戏,咖啡染色出版,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/548430/header_alt_assets_25.jpg?t=1725180708,http://deeprockgalactic.com,,"http://video.akamai.steamstatic.com/store_trailers/257031000/movie_max.mp4?t=1718276246,http://video.akamai.steamstatic.com/store_trailers/257028126/movie_max.mp4?t=1717499526,http://video.akamai.steamstatic.com/store_trailers/256800421/movie_max.mp4?t=1599719181,http://video.akamai.steamstatic.com/store_trailers/256742394/movie_max.mp4?t=1568296075,http://video.akamai.steamstatic.com/store_trailers/256745930/movie_max.mp4?t=1588170749,http://video.akamai.steamstatic.com/store_trailers/256767878/movie_max.mp4?t=1574355387,http://video.akamai.steamstatic.com/store_trailers/256770590/movie_max.mp4?t=1603365780,http://video.akamai.steamstatic.com/store_trailers/256785114/movie_max.mp4?t=1589374877,http://video.akamai.steamstatic.com/store_trailers/256806044/movie_max.mp4?t=1603380614,http://video.akamai.steamstatic.com/store_trailers/256783673/movie_max.mp4?t=1588226844,http://video.akamai.steamstatic.com/store_trailers/256856971/movie_max.mp4?t=1636025529,http://video.akamai.steamstatic.com/store_trailers/256820784/movie_max.mp4?t=1612439352,http://video.akamai.steamstatic.com/store_trailers/256858709/movie_max.mp4?t=1636025521,http://video.akamai.steamstatic.com/store_trailers/256881810/movie_max.mp4?t=1651143708,http://video.akamai.steamstatic.com/store_trailers/256884378/movie_max.mp4?t=1651143704,http://video.akamai.steamstatic.com/store_trailers/256914354/movie_max.mp4?t=1667477054,http://video.akamai.steamstatic.com/store_trailers/256914352/movie_max.mp4?t=1667477058,http://video.akamai.steamstatic.com/store_trailers/256950265/movie_max.mp4?t=1685629317,http://video.akamai.steamstatic.com/store_trailers/256953013/movie_max.mp4?t=1686826756,http://video.akamai.steamstatic.com/store_trailers/256954361/movie_max.mp4?t=1687789236,http://video.akamai.steamstatic.com/store_trailers/256736980/movie_max.mp4?t=1543505350"
529340,维多利亚3,2022/10/25,49.99,9427,30645,15236,30874,1,1,1,单人游戏，多人游戏，玩家对战，在线玩家对战，跨平台多人游戏，Steam 成就，Steam 创意工坊，Steam 云，家庭共享,模拟，策略,大战略，历史，经济，政治模拟，策略，资本主义，外交，政治，管理，模拟，架空历史，可修改，政治，资源管理，实时带暂停，重玩价值，单人，沙盒，多人，军事,45881,66.79%,0,['英语'， '法语'， '德语'， '西班牙语-西班牙'， '日语'， '韩语'， '波兰语'， '葡萄牙语-巴西'， '俄语'， '简体中文'， '土耳其语'],“维多利亚 3 是那种让我沉浸其中，又不让我走的游戏” 8/10 – IGN “维多利亚 3 成功地以直截了当的优雅呈现了世界历史上动荡的篇章，既具有教育意义，又具有娱乐性” 石头纸霰弹枪 “毫无疑问，这是 Paradox 有史以来最漂亮的游戏，可以说是最受新手欢迎的游戏” 8/10 – PCGamesN,Paradox 开发工作室,Paradox Interactive,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/529340/header.jpg?t=1725346915,,support@paradoxplaza.com,http://video.akamai.steamstatic.com/store_trailers/256918897/movie_max.mp4?t=1669908749
270880,美国卡车模拟,2016/2/2,19.99,8859,154165,5084,131985,1,1,1,单人游戏，多人，合作，在线合作，Steam 成就，Steam 集换式卡牌，Steam 创意工坊，部分控制器支持，Steam 云，包括关卡编辑器，一起远程游戏，家庭共享,独立，模拟,汽车模拟，驾驶，开放世界，交通，模拟，美国，拟真，可模组化，放松，探索，经济，管理，氛围，沉浸式模拟，多人，单人，冒险，休闲，阖家，关卡编辑器,159249,96.81%,0,['英语'， '法语'， '意大利语'， '德语'， '西班牙语-西班牙'， '保加利亚语'， '捷克语'， '丹麦语'， '荷兰语'， '芬兰语'， '希腊语'， '匈牙利语'， '日语'， '韩语'， '挪威语'， '波兰语'， '葡萄牙语-葡萄牙'， '葡萄牙语-巴西'， '罗马尼亚语'， '俄语'， '简体中文'， '瑞典语'， '土耳其语'， '乌克兰语'， '繁体中文'， '加泰罗尼亚语'， '立陶宛语'， '塞尔维亚语'， '斯洛伐克语'， '斯洛文尼亚语'],“这是一款从根本上说是不错的游戏，具有沉重、细致入微的控性、深入的模拟和比大多数模拟游戏更高的制作价值。”8/10 – PC Gamer “晚上驾驶大型钻机进入拉斯维加斯时听着埃里克·克莱普顿 （Eric Clapton） 的《今夜精彩》（Wonderful Tonight），这对我来说可能会永远难以忘怀。”8.5/10 – Destructoid “这些虚拟环境中注入的大量细节和美感给我留下了深刻的印象。”8.5/10 – 福布斯,SCS 软件,SCS 软件,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/270880/header.jpg?t=1718720768,https://americantrucksimulator.com/,support@americantrucksimulator.com,"http://video.akamai.steamstatic.com/store_trailers/257023824/movie_max.mp4?t=1715920641,http://video.akamai.steamstatic.com/store_trailers/256660258/movie_max.mp4?t=1683637763"
367520,空洞骑士,2017/2/24,14.99,6511,357035,10618,327067,1,1,1,单人游戏，Steam 成就，完全控制器支持，Steam 集换式卡牌，Steam 云，手机远程畅玩，平板电脑远程畅玩，电视远程畅玩，家庭共享,动作，冒险，独立,类银河战士恶魔城，类魂，平台游戏，好评原声音轨，困难，2D，独立，单人，氛围，探索，冒险，故事丰富，手绘，动作，多结局，黑暗奇幻，开放世界，可爱，控制器，横向滚屏,367653,97.11%,0,['英语'， '法语'， '德语'， '西班牙语 - 西班牙'， '韩语'， '简体中文'， '意大利语'， '葡萄牙语 - 巴西'， '俄语'， '日语'],“这是一次深入黑暗的地方，也是一次非常丰富的体验。”9/10 – Game Informer “如果有的话，这确实是游戏的杰作，当然也值得放在博物馆里的艺术。”10/10 – Destructoid “2017 年最佳平台游戏 - Hollow Knight 的乐趣是发现的乐趣，永远来之不易，永远不会交给你。”92/100 – PC 游戏玩家,樱桃团队,樱桃团队,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/header.jpg?t=1695270428,http://hollowknight.com,info@teamcherry.com.au,"http://video.akamai.steamstatic.com/store_trailers/256679401/movie_max.mp4?t=1497589417,http://video.akamai.steamstatic.com/store_trailers/256695695/movie_max.mp4?t=1505700570,http://video.akamai.steamstatic.com/store_trailers/256686950/movie_max.mp4?t=1497256864,http://video.akamai.steamstatic.com/store_trailers/256674838/movie_max.mp4?t=1480808635,http://video.akamai.steamstatic.com/store_trailers/256674834/movie_max.mp4?t=1480808643"
2437170,SMITE 2,2024/8/27,29.99,5995,765,620,1417,1,0,0,多人模式，玩家对战，在线玩家对战，合作，在线合作，跨平台多人游戏，完全控制器支持，家庭共享,动作，冒险，休闲，大型多人在线，角色扮演，策略，抢先体验,抢先体验，动作，大型多人在线竞技，第三人称，策略，冒险，休闲，神话，角色扮演，大型多人在线，竞技，团队导向，大型多人在线角色扮演，玩家对战，多人，上帝游戏，合作，在线合作，战斗，动作冒险,1385,55.23%,0,['英语'， '法语'， '德语'， '日语'， '波兰语'， '葡萄牙语 - 巴西'， '俄语'， '简体中文'， '土耳其语'， '西班牙语-拉丁美洲'， '乌克兰语'],“在 Smite 2 中与其他玩家战斗绝对感觉像与众神本人战斗” TheGamer “SMITE 2 将是原版游戏的一切，甚至更好” Gfinity “神圣的升级” Dualshockers,泰坦锻造游戏,Hi-Rez Studios（高雷兹工作室）,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2437170/header.jpg?t=1724966811,https://www.smitegame.com,smitesupport@hirezstudios.com ?,http://video.akamai.steamstatic.com/store_trailers/257049702/movie_max.mp4?t=1724756755
